article_id,title,description,content,url,image_url,published_at,source_name,source_url
https://www.theguardian.com/technology/2025/aug/09/its-missing-something-agi-superintelligence-and-a-race-for-the-future,"‘It’s missing something’: AGI, superintelligence and a race for the future",,"A significant step forward but not a leap over the finish line. That was how Sam Altman, chief executive of OpenAI, described the latest upgrade to ChatGPT this week.
The race Altman was referring to was artificial general intelligence (AGI), a theor... [7411 chars]",https://www.theguardian.com/technology/2025/aug/09/its-missing-something-agi-superintelligence-and-a-race-for-the-future,,2025-08-09 13:01:00+00:00,The Guardian,
https://www.nextgov.com/cybersecurity/2025/08/pitch-hacker-community-trumps-nsc-cyber-lead-says-ai-key-future-cyberdefense/407343/?oref=ng-homepage-river,"In pitch to hacker community, Trump’s NSC cyber lead says AI key to future of cyberdefense",,"LAS VEGAS — In the next era of cybersecurity, the best defensive tool may be a line of AI-assisted code, according to President Donald Trump’s cybersecurity lead in the National Security Council.
“I very strongly believe that AI will be more advantag... [2743 chars]",https://www.nextgov.com/cybersecurity/2025/08/pitch-hacker-community-trumps-nsc-cyber-lead-says-ai-key-future-cyberdefense/407343/?oref=ng-homepage-river,,2025-08-09 12:29:50+00:00,Nextgov/FCW,
https://www.onclive.com/view/sar446523-receives-fda-orphan-drug-designation-for-r-r-myeloma,SAR446523 Receives FDA Orphan Drug Designation for R/R Myeloma,,"Myelofibrosis-Associated Anemia | Image credit: © Oleksandr - stock.adobe.com
The FDA has granted orphan drug designation to the GPRC5D-targeted monoclonal antibody SAR446523 as a potential therapeutic option for patients with relapsed or refractory ... [3613 chars]",https://www.onclive.com/view/sar446523-receives-fda-orphan-drug-designation-for-r-r-myeloma,,2025-08-09 12:06:28+00:00,OncLive,
https://www.cnbc.com/2025/08/09/real-estate-startup-runwise-cre-heating-cooling.html,How one real estate startup is taking on record heat this summer,,"A version of this article first appeared in the CNBC Property Play newsletter with Diana Olick. Property Play covers new and evolving opportunities for the real estate investor, from individuals to venture capitalists, private equity funds, family of... [1226 chars]",https://www.cnbc.com/2025/08/09/real-estate-startup-runwise-cre-heating-cooling.html,,2025-08-09 12:00:01+00:00,CNBC,
https://www.cnbc.com/2025/08/09/crypto-may-be-coming-to-401ks-but-itll-be-a-while-before-savers-can-jump-in.html,"Crypto may be coming to 401(k)s, but it'll be a while before savers can jump in",,The crypto market this week cheered as President Donald Trump signed an executive order meant to open retirement plans to alternative assets including cryptocurrencies. The move from the White House has the potential to be a game changer for the adop... [4675 chars],https://www.cnbc.com/2025/08/09/crypto-may-be-coming-to-401ks-but-itll-be-a-while-before-savers-can-jump-in.html,,2025-08-09 11:54:59+00:00,CNBC,
https://www.cnbc.com/2025/08/09/these-are-the-most-overbought-stocks-in-the-market-including-apple-and-alphabet.html,"These are the most overbought stocks in the market, including Apple and Alphabet",,"Stocks including Apple and Alphabet may be among some of Wall Street's most overbought stocks — and could be soon due for a pullback, according to one widely used technical metric. The three major averages all climbed higher this week, with the tech-... [4039 chars]",https://www.cnbc.com/2025/08/09/these-are-the-most-overbought-stocks-in-the-market-including-apple-and-alphabet.html,,2025-08-09 11:51:38+00:00,CNBC,
https://www.forbes.com/sites/digital-assets/2025/08/09/trump-just-dropped-a-122-trillion-crypto-price-bombshell-sending-bitcoin-ethereum-and-xrp-sharply-higher/,"Trump Just Dropped A $12.2 Trillion Crypto Price Bombshell-Sending Bitcoin, Ethereum And XRP Sharply Higher",,"Bitcoin has seen its price rocket higher this year, topping an explosive 2024 that saw Wall Street charge into crypto—though some are predicting the bitcoin price bull run could be just getting started.
Sign up now for CryptoCodex —A free newsletter ... [6183 chars]",https://www.forbes.com/sites/digital-assets/2025/08/09/trump-just-dropped-a-122-trillion-crypto-price-bombshell-sending-bitcoin-ethereum-and-xrp-sharply-higher/,,2025-08-09 11:15:23+00:00,Forbes,
https://www.theglobeandmail.com/business/article-first-nations-groups-hudsons-bay-charter/,First Nations groups raise questions about lack of consultation before sale of 1670 Hudson’s Bay Company charter,,"Open this photo in gallery: The 1670 royal charter signed by King Charles II establishing Hudson's Bay on display at the Manitoba Museum, alongside other Hudson's Bay artifacts.HO/The Canadian Press
When Kyra Wilson, Grand Chief of the Assembly of Ma... [6807 chars]",https://www.theglobeandmail.com/business/article-first-nations-groups-hudsons-bay-charter/,,2025-08-09 11:00:00+00:00,The Globe and Mail,
https://economictimes.indiatimes.com/magazines/panache/elon-musk-vs-satya-nadella-billionaire-harsh-goenka-chooses-his-winner-in-leadership-face-off/articleshow/123203971.cms?from=mdr,Elon Musk vs Satya Nadella: Billionaire Harsh Goenka chooses his winner in leadership face-off,,"Satya Nadella’s Response
Harsh Goenka Labels It a 'Masterclass'
— hvgoenka (@hvgoenka)
GPT-5’s Features and OpenAI’s Vision
The launch of OpenAI’s latest model, GPT-5, has set the stage for a public exchange between Tesla CEO Elon Musk and Microsoft ... [2068 chars]",https://economictimes.indiatimes.com/magazines/panache/elon-musk-vs-satya-nadella-billionaire-harsh-goenka-chooses-his-winner-in-leadership-face-off/articleshow/123203971.cms?from=mdr,,2025-08-09 10:37:06+00:00,The Economic Times,
https://www.cp24.com/news/money/2025/08/09/we-finally-got-in-how-some-homebuyers-are-seizing-the-moment-in-a-cooling-gta-market/,How some buyers are seizing the moment,,"A real estate agent puts up a 'sold' sign in front of a house in Toronto, on Tuesday, April 20, 2010. (Darren Calabrese / THE CANADIAN PRESS)
Jon Campbell didn’t expect to buy a house in Newmarket this year.
He also didn’t expect to postpone his wedd... [6921 chars]",https://www.cp24.com/news/money/2025/08/09/we-finally-got-in-how-some-homebuyers-are-seizing-the-moment-in-a-cooling-gta-market/,,2025-08-09 10:21:36+00:00,CP24,
https://www.scmp.com/tech/tech-trends/article/3321320/openais-gpt-5-draws-mixed-reviews-china-amid-heightened-ai-competition,OpenAI’s GPT-5 draws mixed reviews in China amid heightened AI competition,,"OpenAI ’s latest flagship artificial intelligence model, GPT-5 , has drawn mixed reviews in China, where some critics expressed disappointment over the new system’s lack of breakthroughs.
Advertisement
At its live-streamed launch on Thursday in the U... [1289 chars]",https://www.scmp.com/tech/tech-trends/article/3321320/openais-gpt-5-draws-mixed-reviews-china-amid-heightened-ai-competition,,2025-08-09 11:06:06+00:00,South China Morning Post,
https://www.irishtimes.com/ireland/2025/08/09/very-difficult-to-contact-readers-angered-by-order-delays-at-rathwood-garden-centre/,‘Very difficult to contact’: Readers angered by order delays at Rathwood garden centre,,"Rathwood's managing director apologised but expressed optimism that most of the issues would be resolved by the end of this month. Photograph: Getty Images
Customers of Rathwood Garden & Living have continued to express their frustration and anger at... [4660 chars]",https://www.irishtimes.com/ireland/2025/08/09/very-difficult-to-contact-readers-angered-by-order-delays-at-rathwood-garden-centre/,,2025-08-09 10:59:35+00:00,The Irish Times,
https://www.theguardian.com/technology/2025/aug/09/trump-backed-world-liberty-15bn-crypto-holder,"Trump-backed World Liberty proposes $1.5bn crypto holder, Bloomberg News reports",,"World Liberty Financial, a crypto venture backed by Donald Trump and the US president’s family, is sounding out investors for a $1.5bn fundraising round meant to set up a public company that will hold its WLFI tokens, Bloomberg News reported on Frida... [1413 chars]",https://www.theguardian.com/technology/2025/aug/09/trump-backed-world-liberty-15bn-crypto-holder,,2025-08-09 13:34:00+00:00,The Guardian,
https://www.dovepress.com/the-application-of-mesoporous-silica-nanoparticles-in-enhancing-the-ef-peer-reviewed-fulltext-article-IJN,The application of mesoporous silica nanoparticles in the improvement,,"Introduction
The World Health Organization (WHO) reported that in 2021, atherosclerosis (AS) was associated with approximately 19 million deaths annually, positioning it as one of the leading chronic diseases globally. In the United States, AS was a ... [61566 chars]",https://www.dovepress.com/the-application-of-mesoporous-silica-nanoparticles-in-enhancing-the-ef-peer-reviewed-fulltext-article-IJN,,2025-08-09 12:54:21+00:00,Dove Medical Press,
https://www.hindustantimes.com/world-news/pakistan-social-media-influencer-defends-husband-who-threatened-to-rape-air-hostess-101754738892818.html,Pakistani influencer defends husband who threatened to rape air hostess,,"The wife of Salman Iftikhar, the executive recently sentenced for threatening a Virgin Atlantic flight attendant, has come forward to defend her husband, attributing his actions to mental health struggles. Abeer Iftikhar, social media influencer from... [2543 chars]",https://www.hindustantimes.com/world-news/pakistan-social-media-influencer-defends-husband-who-threatened-to-rape-air-hostess-101754738892818.html,,2025-08-09 12:22:45+00:00,Hindustan Times,
https://www.news18.com/viral/effect-of-trumps-tariffs-instagram-user-exposes-clothing-price-hikes-at-walmart-video-ws-l-9495419.html,'Effect Of Trump's Tariffs': Instagram User Exposes Clothing Price Hikes At Walmart |Video,,"'Effect Of Trump's Tariffs': Instagram User Exposes Clothing Price Hikes At Walmart |Video
Curated By :
News18.com
Last Updated: August 09, 2025, 17:41 IST
In the video, Chandler walks through Walmart, pointing to clothing tags that appear to have th... [4022 chars]",https://www.news18.com/viral/effect-of-trumps-tariffs-instagram-user-exposes-clothing-price-hikes-at-walmart-video-ws-l-9495419.html,,2025-08-09 12:07:01+00:00,News18,
https://www.cureus.com/articles/398060-mir-872-protection-against-renal-ischemia-reperfusion-injury-via-targeting-hmox1,miR-872 Protection Against Renal Ischemia-Reperfusion Injury via Targeting HMOX1,,Please choose I'm not a medical professional. Allergy and Immunology Anatomy Anesthesiology Biostatistics Cardiac/Thoracic/Vascular Surgery Cardiology Critical Care Dentistry Dermatology Diabetes and Endocrinology Emergency Medicine Epidemiology and ... [1093 chars],https://www.cureus.com/articles/398060-mir-872-protection-against-renal-ischemia-reperfusion-injury-via-targeting-hmox1,,2025-08-09 14:06:51+00:00,Cureus,
https://www.thehindu.com/news/national/electricity-a-public-good-must-not-be-vulnerable-to-undue-political-posturing-says-supreme-court/article69913318.ece,"Electricity, a ‘public good’, must not be vulnerable to ‘undue political posturing’, says Supreme Court",,"The Supreme Court has expressed a lack of confidence on whether Electricity Regulatory Commissions (ERCs) are living up to the independence and autonomy afforded to them under the law. ERCs have the exclusive authority of tariff determination, play a... [3403 chars]",https://www.thehindu.com/news/national/electricity-a-public-good-must-not-be-vulnerable-to-undue-political-posturing-says-supreme-court/article69913318.ece,,2025-08-09 12:00:00+00:00,The Hindu,
